Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance_(%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access,Parent_Education,Family_Income,Stress_Level_(1-10)
S1000,Emma,Anderson,student0@univ.edu,Female,25,CS,67.68,51.74,87.72,67.59,99.48,45.0,94.21,80.242,B,8.2,No,Yes,Bachelor's,Low,10
S1001,John,Smith,student1@univ.edu,Female,24,Data Science,76.24,76.63,64.13,60.73,84.55,84.9,73.03,70.518,C,5.2,Yes,Yes,PhD,High,5
S1002,Zainab,Taylor,student2@univ.edu,Male,19,Engineering,79.98,65.21,79.92,77.23,86.99,1.4,56.35,74.0995,C,12.2,No,Yes,Master's,Low,9
S1003,Fatima,Johnson,student3@univ.edu,Female,20,Physics,78.33,93.14,96.06,57.37,51.6,11.9,60.65,77.692,B,20.5,Yes,Yes,Master's,Medium,3
S1004,David,Wilson,student4@univ.edu,Female,21,Data Science,82.71,85.31,41.24,90.87,51.07,68.5,76.99,64.3355,D,26.4,Yes,Yes,Master's,Low,4
S1005,Zainab,Miller,student5@univ.edu,Female,18,Mathematics,65.39,75.82,40.67,61.28,51.81,96.4,66.92,56.4,D,28.8,Yes,Yes,PhD,Medium,10
S1006,Liam,Khan,student6@univ.edu,Male,21,Physics,56.32,40.64,86.22,79.9,99.59,64.3,92.56,79.1125,B,7.1,No,Yes,PhD,Low,8
S1007,Emma,Brown,student7@univ.edu,Female,20,Engineering,88.04,92.79,78.78,56.25,98.98,26.1,74.74,80.6265,B,13.2,Yes,Yes,Master's,Low,2
S1008,Lucas,Jones,student8@univ.edu,Female,22,Mathematics,92.54,66.68,57.58,98.92,66.73,52.0,95.76,72.7005,C,28.1,No,No,Master's,Medium,5
S1009,Ahmed,Williams,student9@univ.edu,Male,24,CS,62.85,95.89,69.66,72.73,64.55,97.5,55.09,72.4145,C,19.4,Yes,Yes,High School,Medium,9
